timestamp,xbtusd_bid,xbtusd_ask,xbtm19_bid,xbtm19_ask,delta,zeta,position
2019-06-03T18:16:53.215Z,8506.5,8507,8569.5,8570,62.5,63.5,
2019-06-03T18:16:55.000Z,8506.5,8507,8568,8568.5,61,62.0,
2019-06-03T18:16:55.000Z,8506.5,8507,8568,8568.5,61,62.0,
2019-06-03T18:16:55.000Z,8506.5,8507,8568,8568.5,61,62.0,
2019-06-03T18:16:55.000Z,8506.5,8507,8568,8568.5,61,62.0,
2019-06-03T18:16:59.568Z,8506.5,8507,8565,8565.5,58,59.0,
2019-06-03T18:16:59.568Z,8506.5,8507,8565,8565.5,58,59.0,
2019-06-03T18:17:00.000Z,8506.5,8507,8565,8565.5,58,59.0,
2019-06-03T18:17:02.105Z,8506.5,8507,8565,8565.5,58,59.0,
2019-06-03T18:17:02.466Z,8506.5,8507,8565,8565.5,58,59.0,
2019-06-03T18:17:04.155Z,8505.5,8506,8564,8564.5,58,59.0,
2019-06-03T18:17:05.000Z,8505.5,8506,8564,8564.5,58,59.0,
2019-06-03T18:17:05.734Z,8505.5,8506,8564,8564.5,58,59.0,
2019-06-03T18:17:05.734Z,8505.5,8506,8564,8564.5,58,59.0,
2019-06-03T18:17:05.734Z,8505.5,8506,8564,8564.5,58,59.0,
2019-06-03T18:17:05.734Z,8505.5,8506,8564,8564.5,58,59.0,
2019-06-03T18:17:10.000Z,8501,8501.5,8559.5,8560,58.0,59,
2019-06-03T18:17:10.682Z,8501,8501.5,8559.5,8560,58.0,59,
2019-06-03T18:17:12.178Z,8501,8501.5,8559.5,8560,58.0,59,
2019-06-03T18:17:12.311Z,8501,8501.5,8559.5,8560,58.0,59,
2019-06-03T18:17:15.079Z,8499.5,8500.5,8559,8559.5,58.5,60.0,
2019-06-03T18:17:15.079Z,8499.5,8500.5,8559,8559.5,58.5,60.0,
2019-06-03T18:17:17.009Z,8499.5,8500.5,8559,8559.5,58.5,60.0,
2019-06-03T18:17:17.009Z,8499.5,8500.5,8559,8559.5,58.5,60.0,
2019-06-03T18:17:18.813Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:20.025Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:20.025Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:20.025Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:20.025Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:20.025Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:20.025Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:24.300Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:26.764Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:27.081Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:28.560Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:29.865Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:30.000Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:32.068Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:32.068Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:32.068Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:32.068Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:36.699Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:36.979Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:36.979Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:36.979Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:40.000Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:40.000Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:40.000Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:40.000Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:44.636Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:45.000Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:46.257Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:46.257Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:46.257Z,8499.5,8500,8559,8559.5,59,60.0,
2019-06-03T18:17:49.965Z,8498.5,8499,8559,8559.5,60,61.0,
2019-06-03T18:17:50.000Z,8498.5,8499,8559,8559.5,60,61.0,
2019-06-03T18:17:50.000Z,8498.5,8499,8559,8559.5,60,61.0,
2019-06-03T18:17:52.109Z,8498.5,8499,8559,8559.5,60,61.0,
2019-06-03T18:17:52.109Z,8498.5,8499,8559,8559.5,60,61.0,
2019-06-03T18:17:54.818Z,8496,8496.5,8556.5,8557,60.0,61,
2019-06-03T18:17:56.449Z,8496,8496.5,8556.5,8557,60.0,61,
2019-06-03T18:17:56.774Z,8496,8496.5,8556.5,8557,60.0,61,
2019-06-03T18:17:58.420Z,8496,8496.5,8556.5,8557,60.0,61,
2019-06-03T18:17:59.397Z,8496,8496.5,8556.5,8557,60.0,61,
2019-06-03T18:17:59.397Z,8496,8496.5,8556.5,8557,60.0,61,
2019-06-03T18:18:00.000Z,8496,8496.5,8556.5,8557,60.0,61,
2019-06-03T18:18:01.883Z,8496,8496.5,8556.5,8557,60.0,61,
2019-06-03T18:18:01.883Z,8496,8496.5,8556.5,8557,60.0,61,
2019-06-03T18:18:04.305Z,8496,8496.5,8556.5,8557,60.0,61,
2019-06-03T18:18:05.830Z,8496,8496.5,8556.5,8557,60.0,61,
2019-06-03T18:18:06.659Z,8496,8496.5,8556.5,8557,60.0,61,
