timestamp,xbtusd_bid,xbtusd_ask,xbtm19_bid,xbtm19_ask
2019-05-28T18:23:03.341Z,8756.5,8757,8953,8953.5
2019-05-28T18:23:03.561Z,8756.5,8757,8953,8953.5
2019-05-28T18:23:05.782Z,8756.5,8757,8953,8953.5
2019-05-28T18:23:05.782Z,8756.5,8757,8953,8953.5
2019-05-28T18:23:08.051Z,8756.5,8757,8953,8953.5
2019-05-28T18:23:08.800Z,8756.5,8757,8953,8953.5
2019-05-28T18:23:10.698Z,8756,8756.5,8952,8953.5
2019-05-28T18:23:12.186Z,8756,8756.5,8952,8953.5
2019-05-28T18:23:12.186Z,8756,8756.5,8952,8953.5
2019-05-28T18:23:12.186Z,8756,8756.5,8952,8953.5
2019-05-28T18:23:12.186Z,8756,8756.5,8952,8953.5
2019-05-28T18:23:15.385Z,8756,8756.5,8950,8950.5
2019-05-28T18:23:16.866Z,8756,8756.5,8950,8950.5
2019-05-28T18:23:17.734Z,8756,8756.5,8950,8950.5
2019-05-28T18:23:17.734Z,8756,8756.5,8950,8950.5
2019-05-28T18:23:20.436Z,8755.5,8756,8948.5,8949
2019-05-28T18:23:20.436Z,8755.5,8756,8948.5,8949
2019-05-28T18:23:22.050Z,8755.5,8756,8948.5,8949
2019-05-28T18:23:22.050Z,8755.5,8756,8948.5,8949
2019-05-28T18:23:24.836Z,8755.5,8756,8948,8948.5
2019-05-28T18:23:25.323Z,8755.5,8756,8948,8948.5
2019-05-28T18:23:25.323Z,8755.5,8756,8948,8948.5
2019-05-28T18:23:27.260Z,8755.5,8756,8948,8948.5
2019-05-28T18:23:27.863Z,8755.5,8756,8948,8948.5
2019-05-28T18:23:28.427Z,8755.5,8756,8948,8948.5
2019-05-28T18:23:29.384Z,8755,8755.5,8946,8946.5
2019-05-28T18:23:30.910Z,8755,8755.5,8946,8946.5
2019-05-28T18:23:32.147Z,8755,8755.5,8946,8946.5
2019-05-28T18:23:32.147Z,8755,8755.5,8946,8946.5
2019-05-28T18:23:32.147Z,8755,8755.5,8946,8946.5
2019-05-28T18:23:33.655Z,8754.5,8755,8946,8946.5
2019-05-28T18:23:35.691Z,8754.5,8755,8946,8946.5
2019-05-28T18:23:35.691Z,8754.5,8755,8946,8946.5
2019-05-28T18:23:35.691Z,8754.5,8755,8946,8946.5
2019-05-28T18:23:35.691Z,8754.5,8755,8946,8946.5
2019-05-28T18:23:40.777Z,8754.5,8755,8946,8946.5
2019-05-28T18:23:41.635Z,8754.5,8755,8946,8946.5
2019-05-28T18:23:42.110Z,8754.5,8755,8946,8946.5
2019-05-28T18:23:42.722Z,8754.5,8755,8946,8946.5
2019-05-28T18:23:42.722Z,8754.5,8755,8946,8946.5
2019-05-28T18:23:45.634Z,8736.5,8737,8938,8946
2019-05-28T18:23:45.758Z,8736.5,8737,8938,8946
2019-05-28T18:23:46.997Z,8736.5,8737,8938,8946
2019-05-28T18:23:46.997Z,8736.5,8737,8938,8946
2019-05-28T18:23:46.997Z,8736.5,8737,8938,8946
2019-05-28T18:23:47.783Z,8736.5,8737,8938,8946
2019-05-28T18:23:49.110Z,8745,8745.5,8932,8936.5
2019-05-28T18:23:52.070Z,8745,8745.5,8932,8936.5
2019-05-28T18:23:52.922Z,8745,8745.5,8932,8936.5
2019-05-28T18:23:52.922Z,8745,8745.5,8932,8936.5
2019-05-28T18:23:52.922Z,8745,8745.5,8932,8936.5
2019-05-28T18:23:54.858Z,8746.5,8747,8936.5,8937
2019-05-28T18:23:55.000Z,8746.5,8747,8936.5,8937
2019-05-28T18:23:58.234Z,8746.5,8747,8936.5,8937
2019-05-28T18:23:58.413Z,8746.5,8747,8937,8937.5
2019-05-28T18:23:59.997Z,8746.5,8747,8937,8937.5
2019-05-28T18:23:59.997Z,8746.5,8747,8937,8937.5
2019-05-28T18:23:59.997Z,8746.5,8747,8937,8937.5
2019-05-28T18:24:02.957Z,8746.5,8747,8937,8937.5
2019-05-28T18:24:05.386Z,8746.5,8747,8937,8937.5
2019-05-28T18:24:05.386Z,8746.5,8747,8937,8937.5
2019-05-28T18:24:06.778Z,8746.5,8747,8937,8937.5
2019-05-28T18:24:06.778Z,8746.5,8747,8937,8937.5
2019-05-28T18:24:08.425Z,8746.5,8747,8937,8937.5
2019-05-28T18:24:08.626Z,8746.5,8747,8937,8937.5
2019-05-28T18:24:11.713Z,8745,8745.5,8937,8937.5
2019-05-28T18:24:11.713Z,8745,8745.5,8937,8937.5
2019-05-28T18:24:11.713Z,8745,8745.5,8937,8937.5
2019-05-28T18:24:14.269Z,8738.5,8739,8928.5,8935
2019-05-28T18:24:15.823Z,8738.5,8739,8928.5,8935
2019-05-28T18:24:16.748Z,8738.5,8739,8928.5,8935
2019-05-28T18:24:17.937Z,8738.5,8739,8928.5,8935
2019-05-28T18:24:17.937Z,8738.5,8739,8928.5,8935
2019-05-28T18:24:17.937Z,8738.5,8739,8928.5,8935
2019-05-28T18:24:20.908Z,8738,8738.5,8931.5,8932
2019-05-28T18:24:21.751Z,8738,8738.5,8931.5,8932
2019-05-28T18:24:23.029Z,8738,8738.5,8931.5,8932
2019-05-28T18:24:23.131Z,8738,8738.5,8931.5,8932
2019-05-28T18:24:25.064Z,8736,8736.5,8929.5,8930.5
2019-05-28T18:24:25.695Z,8736,8736.5,8929.5,8930.5
2019-05-28T18:24:27.071Z,8736,8736.5,8929.5,8930.5
2019-05-28T18:24:27.891Z,8736,8736.5,8929.5,8930.5
2019-05-28T18:24:28.234Z,8736,8736.5,8929.5,8930.5
2019-05-28T18:24:30.786Z,8733,8733.5,8930,8930.5
2019-05-28T18:24:30.952Z,8733,8733.5,8930,8930.5
2019-05-28T18:24:31.984Z,8733,8733.5,8930,8930.5
2019-05-28T18:24:31.984Z,8733,8733.5,8930,8930.5
2019-05-28T18:24:34.879Z,8733,8733.5,8926.5,8927
2019-05-28T18:24:34.879Z,8733,8733.5,8926.5,8927
2019-05-28T18:24:35.978Z,8733,8733.5,8926.5,8927
2019-05-28T18:24:37.073Z,8733,8733.5,8926.5,8927
2019-05-28T18:24:37.947Z,8733,8733.5,8926.5,8927
2019-05-28T18:24:37.947Z,8733,8733.5,8926.5,8927
2019-05-28T18:24:40.872Z,8730,8730.5,8924,8925
2019-05-28T18:24:41.574Z,8730,8730.5,8924,8925
2019-05-28T18:24:42.651Z,8730,8730.5,8924,8925
2019-05-28T18:24:42.651Z,8730,8730.5,8925,8926
2019-05-28T18:24:45.328Z,8730,8730.5,8925,8926
2019-05-28T18:24:45.328Z,8730,8730.5,8925,8926
2019-05-28T18:24:46.669Z,8730,8730.5,8925,8926
2019-05-28T18:24:47.379Z,8730,8730.5,8925,8926
2019-05-28T18:24:47.927Z,8730,8730.5,8925,8926
2019-05-28T18:24:49.715Z,8730,8730.5,8923.5,8924.5
2019-05-28T18:24:50.966Z,8730,8730.5,8923.5,8924.5
2019-05-28T18:24:50.966Z,8730,8730.5,8923.5,8924.5
2019-05-28T18:24:50.966Z,8730,8730.5,8923.5,8924.5
2019-05-28T18:24:53.220Z,8730,8730.5,8923.5,8924.5
2019-05-28T18:24:53.220Z,8730,8730.5,8923.5,8924.5
2019-05-28T18:24:55.007Z,8730,8730.5,8923.5,8924
